"AI_CD","PROC_CD","SER","LOC","ITM","TAG_SN","DP","TAG_TY"
"UI","C","0","0","ai_c1_cf","771-358-SWI-2004","응집제 투입률","2"
"UI","C","0","0","ai_c1_cf_coagulant","771-358-SWI-2003","응집제 종류","2"
"UI","C","0","0","ai_c_ti","771-358-SWI-2001","약품 AI 분석시간","2"
"UI","D","0","0","ai_d_loc_fc1_1","771-358-SWI-3008","응집지 #1응집기1열설정속도예측 ","2"
"UI","D","0","0","ai_d_loc_fc1_2","771-358-SWI-3009","응집지 #1응집기2열설정속도예측","2"
"UI","D","0","0","ai_d_loc_fc2_1","771-358-SWI-3010","응집지 #2응집기1열설정속도예측 ","2"
"UI","D","0","0","ai_d_loc_fc2_2","771-358-SWI-3011","응집지 #2응집기2열설정속도예측","2"
"UI","D","0","0","ai_d_ti","771-358-SWI-3001","혼화응집 AI 분석시간","2"
"UI","G","0","0","ai_g_chol_consume_post","771-358-SWI-6007","후차염 염소 소모량 예측","2"
"UI","G","0","0","ai_g_chol_consume_pre","771-358-SWI-6015","전차염 염소 소모량 예측","2"
"UI","G","0","0","ai_g_chol_rate_post","771-358-SWI-6008","후차염 다음 목표 주입률 예측","2"
"UI","G","0","0","ai_g_chol_rate_pre","771-358-SWI-6016","전차염 다음 목표 주입률 예측","2"
"UI","G","0","0","ai_g_ti_post","771-358-SWI-6013","소독 후차염 AI 분석시간","2"
"UI","G","0","0","ai_g_ti_pre","771-358-SWI-6011","소독 전차염 AI 분석시간","2"
"EMS","H","1","1","ai_h1_pm1","771-445-EMS-9101","도수(가) 펌프 1 ON/OFF 상태 예측","2"
"EMS","H","1","2","ai_h1_pm2","771-445-EMS-9102","도수(가) 펌프 2 ON/OFF 상태 예측","2"
"EMS","H","1","3","ai_h1_pm3","771-445-EMS-9103","도수(가) 펌프 3 ON/OFF 상태 예측","2"
"EMS","H","2","1","ai_h2_pm1","771-446-EMS-9101","송수(가) 펌프 1 ON/OFF 상태 예측","2"
"EMS","H","3","1","ai_h3_pm1","882-602-EMS-9101","용담(가) 펌프 1 ON/OFF 상태 예측","2"
"EMS","H","3","2","ai_h3_pm2","882-602-EMS-9102","용담(가) 펌프 2 ON/OFF 상태 예측","2"
"EMS","H","3","3","ai_h3_pm3","882-602-EMS-9103","용담(가) 펌프 3 ON/OFF 상태 예측","2"
"EMS","H","4","1","ai_h4_pm1","882-603-EMS-9101","운봉(가) 펌프 1 ON/OFF 상태 예측","2"
"EMS","H","4","2","ai_h4_pm2","882-603-EMS-9102","운봉(가) 펌프 2 ON/OFF 상태 예측","2"
"EMS","H","4","3","ai_h4_pm3","882-603-EMS-9103","운봉(가) 펌프 3 ON/OFF 상태 예측","2"
"C","C","0","0","ALG-0001","771-358-ALG-0001","금산(정) 조류측정기 Total chl-a","0"
"C","C","0","0","ALG-0002","771-358-ALG-0002","금산(정) 조류측정기 녹조 Green Algae","0"
"C","C","0","0","ALG-0003","771-358-ALG-0003","금산(정) 조류측정기 남조 Bluegreen","0"
"C","C","0","0","ALG-0004","771-358-ALG-0004","금산(정) 조류측정기 규조 Diatoms","0"
